appello,anno,insegnamento,docente,scritto_data,scritto_ora,scritto_aula,orale_data,orale_ora,orale_aula
1,1,Analisi Matematica,Fidaleo,null,null,NULL,null,null,NULL
1,1,Architettura dei sistemi di elaborazione,Simonetta,null,null,NULL,null,null,NULL
1,1,Fisica,Camarri,null,null,NULL,null,null,NULL
1,1,Geometria ed algebra,Arosio,15-09-2021,10:00,ONLINE,16-09-2021,10:00,3PP2
1,1,Logica e reti logiche,Pasquale,null,null,NULL,null,null,NULL
1,1,Matematica discreta,Brenti,null,null,NULL,null,null,NULL
1,1,Programmazione dei calcolatori con laboratorio,Rossi,null,null,NULL,null,null,NULL
1,2,Algoritmi e strutture dati,Clementi, Guala',null,null,NULL,null,null,NULL
1,2,Basi di dati e di conoscenza,Vigliano,05-07-2021,,,15-09-2021,10:00,20
1,2,Calcolo delle probabilità e statistica,Macci,02-09-2021,10:00,NULL,07-09-2021,10:00,NULL
1,2,Fondamenti di informatica,Gambosi, Di Ianni,null,null,NULL,null,null,NULL
1,2,Linguaggi e metodologie di programmazione,Zanzotto, Stellato,null,null,NULL,null,null,NULL
1,2,Ricerca operativa,Caramia,null,null,NULL,null,null,NULL
1,2,Sistemi operativi e reti,Frasca,null,null,NULL,null,null,NULL
1,3,Algoritmi e strutture dati 2,Pasquale,null,null,NULL,null,null,NULL
1,3,Calcolo numerico,Pelosi,null,null,NULL,null,null,NULL
1,3,Ingegneria del software,Intrigila, D'Ambrogio,null,null,NULL,null,null,NULL
1,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
1,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
1,3,Modelli e linguaggi di simulazione,Iazeolla,null,null,NULL,null,null,NULL
1,3,Programmazione Java per dispositivi mobili,Loreti,null,null,NULL,null,null,NULL
1,3,Programmazione Web,Loreti,null,null,NULL,null,null,NULL
2,1,Analisi Matematica,Fidaleo,null,null,NULL,null,null,NULL
2,1,Architettura dei sistemi di elaborazione,Simonetta,null,null,NULL,null,null,NULL
2,1,Fisica,Camarri,null,null,NULL,null,null,NULL
2,1,Geometria ed algebra,Arosio,28-09-2021,10:00,ONLINE,29-05-2021,10:00,3PP2
2,1,Logica e reti logiche,Pasquale,null,null,NULL,null,null,NULL
2,1,Matematica discreta,Brenti,null,null,NULL,null,null,NULL
2,1,Programmazione dei calcolatori con laboratorio,Rossi,null,null,NULL,null,null,NULL
2,2,Algoritmi e strutture dati,Clementi, Guala',null,null,NULL,null,null,NULL
2,2,Basi di dati e di conoscenza,Vigliano,27-09-2021,14:00,3PP2,30-09-2021,10:00,3PP2
2,2,Calcolo delle probabilità e statistica,Macci,21-09-2021,10:00,NULL,23-09-2021,10:00,NULL
2,2,Fondamenti di informatica,Gambosi, Di Ianni,null,null,NULL,null,null,NULL
2,2,Linguaggi e metodologie di programmazione,Zanzotto, Stellato,null,null,NULL,null,null,NULL
2,2,Ricerca operativa,Caramia,null,null,NULL,null,null,NULL
2,2,Sistemi operativi e reti,Frasca,null,null,NULL,null,null,NULL
2,3,Algoritmi e strutture dati 2,Pasquale,null,null,NULL,null,null,NULL
2,3,Calcolo numerico,Pelosi,null,null,NULL,null,null,NULL
2,3,Ingegneria del software,Intrigila, D'Ambrogio,null,null,NULL,null,null,NULL
2,3,Intelligenza artificiale 1,Basili,null,null,NULL,null,null,NULL
2,3,Lingua inglese,Monorchio,null,null,NULL,null,null,NULL
2,3,Modelli e linguaggi di simulazione,Iazeolla,null,null,NULL,null,null,NULL
2,3,Programmazione Java per dispositivi mobili,Loreti,null,null,NULL,null,null,NULL
2,3,Programmazione Web,Loreti,null,null,NULL,null,null,NULL
